contest_no,win,comp,policy_index,valence_index,Gender,Age,Race,Job,Political,Party,democrat,republican,resp_pid_7,resp_pid_3_text,resp_mturkid,same_party,mturk_clean
5,0,85,8,5,Female,55,Black,Educator,Mayor,non-partisan,0,0,4,Independent,A1YSYI926BBOHW,1,324
5,1,95,8,6,Male,45,Black,Police Officer,State Legislator,non-partisan,0,0,4,Independent,A1YSYI926BBOHW,1,324
1,0,60,9,6,Male,45,White,Business Executive,State Legislator,non-partisan,1,0,3,Democrat,A1YWQ4HWD9UYVR,1,325
1,1,80,8,6,Female,45,White,Small Business Owner,State Legislator,non-partisan,1,0,3,Democrat,A1YWQ4HWD9UYVR,1,325
2,1,80,8,6,Male,45,Hispanic,Police Officer,State Legislator,Democrat,1,0,3,Democrat,A1YWQ4HWD9UYVR,0,325
2,0,60,9,3,Male,45,Black,Attorney,Mayor,Republican,1,0,3,Democrat,A1YWQ4HWD9UYVR,0,325
3,0,60,8,3,Female,45,Asian,Business Executive,State Legislator,non-partisan,1,0,3,Democrat,A1YWQ4HWD9UYVR,1,325
3,1,80,8,6,Female,65,Black,Small Business Owner,City Council Member,non-partisan,1,0,3,Democrat,A1YWQ4HWD9UYVR,1,325
4,0,60,8,3,Female,65,White,Attorney,None,Republican,1,0,3,Democrat,A1YWQ4HWD9UYVR,0,325
4,1,80,8,6,Female,65,Hispanic,Police Officer,None,Democrat,1,0,3,Democrat,A1YWQ4HWD9UYVR,0,325
5,1,80,8,6,Female,65,Hispanic,Educator,City Council Member,Independent,1,0,3,Democrat,A1YWQ4HWD9UYVR,1,325
5,0,60,8,5,Male,45,Asian,Police Officer,None,Independent,1,0,3,Democrat,A1YWQ4HWD9UYVR,1,325
1,1,81,7,4,Male,65,Asian,Educator,Representative in Congress,non-partisan,1,0,3,Democrat,A1YX741QQSMKPS,1,326
1,0,71,10,4,Female,45,Hispanic,Small Business Owner,Representative in Congress,non-partisan,1,0,3,Democrat,A1YX741QQSMKPS,1,326
2,0,60,10,5,Male,55,White,Police Officer,Representative in Congress,Independent,1,0,3,Democrat,A1YX741QQSMKPS,0,326
2,1,77,9,6,Male,65,Hispanic,Small Business Owner,Mayor,Democrat,1,0,3,Democrat,A1YX741QQSMKPS,0,326
3,1,71,10,4,Male,55,White,Attorney,City Council Member,non-partisan,1,0,3,Democrat,A1YX741QQSMKPS,1,326
3,0,48,9,4,Female,55,White,Attorney,State Legislator,non-partisan,1,0,3,Democrat,A1YX741QQSMKPS,1,326
4,0,81,8,5,Female,55,White,Small Business Owner,Representative in Congress,non-partisan,1,0,3,Democrat,A1YX741QQSMKPS,1,326
4,1,100,10,5,Female,45,Black,Business Executive,Mayor,non-partisan,1,0,3,Democrat,A1YX741QQSMKPS,1,326
5,0,70,8,5,Male,55,Asian,Police Officer,None,non-partisan,1,0,3,Democrat,A1YX741QQSMKPS,1,326
5,1,95,8,4,Female,65,Hispanic,Police Officer,Mayor,non-partisan,1,0,3,Democrat,A1YX741QQSMKPS,1,326
1,0,71,6,4,Male,55,Black,Attorney,State Legislator,non-partisan,1,0,1,Democrat,A1Z8CYDMASP35W,1,327
1,1,81,8,4,Male,45,Hispanic,Small Business Owner,City Council Member,non-partisan,1,0,1,Democrat,A1Z8CYDMASP35W,1,327
2,0,80,8,6,Male,35,Asian,Small Business Owner,City Council Member,non-partisan,1,0,1,Democrat,A1Z8CYDMASP35W,1,327
2,1,93,8,6,Female,65,White,Small Business Owner,Mayor,non-partisan,1,0,1,Democrat,A1Z8CYDMASP35W,1,327
3,1,92,8,6,Female,35,Asian,Educator,Mayor,non-partisan,1,0,1,Democrat,A1Z8CYDMASP35W,1,327
3,0,82,8,6,Male,55,White,Attorney,Representative in Congress,non-partisan,1,0,1,Democrat,A1Z8CYDMASP35W,1,327
4,1,92,7,6,Male,65,Black,Police Officer,Mayor,non-partisan,1,0,1,Democrat,A1Z8CYDMASP35W,1,327
4,0,81,7,6,Female,65,White,Educator,Representative in Congress,non-partisan,1,0,1,Democrat,A1Z8CYDMASP35W,1,327
5,1,82,7,4,Male,45,Black,Small Business Owner,Representative in Congress,non-partisan,1,0,1,Democrat,A1Z8CYDMASP35W,1,327
5,0,50,8,4,Male,45,Hispanic,Business Executive,None,non-partisan,1,0,1,Democrat,A1Z8CYDMASP35W,1,327
1,1,66,10,5,Male,35,White,Police Officer,State Legislator,Independent,0,1,6,Republican,A1Z94ZS6SC02L5,0,328
1,0,23,5,2,Male,35,Asian,Attorney,State Legislator,Democrat,0,1,6,Republican,A1Z94ZS6SC02L5,0,328
2,0,31,8,5,Female,55,Black,Educator,Mayor,Independent,0,1,6,Republican,A1Z94ZS6SC02L5,1,328
2,1,65,8,5,Female,55,Black,Police Officer,Mayor,Independent,0,1,6,Republican,A1Z94ZS6SC02L5,1,328
3,0,21,5,4,Male,65,Black,Small Business Owner,Representative in Congress,Democrat,0,1,6,Republican,A1Z94ZS6SC02L5,0,328
3,1,84,11,4,Male,65,White,Attorney,State Legislator,Republican,0,1,6,Republican,A1Z94ZS6SC02L5,0,328
4,0,44,7,3,Male,35,Asian,Small Business Owner,Representative in Congress,non-partisan,0,1,6,Republican,A1Z94ZS6SC02L5,1,328
4,1,66,7,3,Male,45,Asian,Small Business Owner,State Legislator,non-partisan,0,1,6,Republican,A1Z94ZS6SC02L5,1,328
5,0,43,6,3,Male,65,Black,Business Executive,State Legislator,Democrat,0,1,6,Republican,A1Z94ZS6SC02L5,0,328
5,1,68,6,3,Female,65,White,Police Officer,State Legislator,Republican,0,1,6,Republican,A1Z94ZS6SC02L5,0,328
1,0,34,8,4,Male,65,Black,Business Executive,State Legislator,Independent,0,1,5,Republican,A1ZFLC209CRCWR,0,329
1,1,55,8,4,Female,35,Asian,Police Officer,Mayor,Democrat,0,1,5,Republican,A1ZFLC209CRCWR,0,329
2,0,36,8,4,Male,65,Hispanic,Attorney,Representative in Congress,non-partisan,0,1,5,Republican,A1ZFLC209CRCWR,1,329
2,1,58,8,4,Male,65,Asian,Educator,City Council Member,non-partisan,0,1,5,Republican,A1ZFLC209CRCWR,1,329
3,1,57,8,4,Male,65,Asian,Educator,Representative in Congress,Republican,0,1,5,Republican,A1ZFLC209CRCWR,1,329
3,0,42,8,4,Female,35,Asian,Attorney,State Legislator,Republican,0,1,5,Republican,A1ZFLC209CRCWR,1,329
4,1,59,8,4,Female,45,White,Business Executive,Representative in Congress,non-partisan,0,1,5,Republican,A1ZFLC209CRCWR,1,329
4,0,37,8,4,Male,65,Asian,Police Officer,State Legislator,non-partisan,0,1,5,Republican,A1ZFLC209CRCWR,1,329
5,0,35,7,3,Female,45,Hispanic,Educator,State Legislator,non-partisan,0,1,5,Republican,A1ZFLC209CRCWR,1,329
5,1,53,9,5,Male,65,White,Attorney,City Council Member,non-partisan,0,1,5,Republican,A1ZFLC209CRCWR,1,329
1,0,59,8,4,Female,55,Asian,Educator,Representative in Congress,Independent,1,0,1,Democrat,A1ZK0SH3406UPY,1,330
1,1,71,8,6,Female,45,Hispanic,Small Business Owner,City Council Member,Independent,1,0,1,Democrat,A1ZK0SH3406UPY,1,330
2,0,70,9,5,Male,45,Asian,Business Executive,Mayor,non-partisan,1,0,1,Democrat,A1ZK0SH3406UPY,1,330
2,1,83,6,5,Female,45,White,Educator,Mayor,non-partisan,1,0,1,Democrat,A1ZK0SH3406UPY,1,330
3,0,28,7,4,Female,55,Asian,Educator,None,non-partisan,1,0,1,Democrat,A1ZK0SH3406UPY,1,330
3,1,71,9,4,Male,55,White,Business Executive,Mayor,non-partisan,1,0,1,Democrat,A1ZK0SH3406UPY,1,330
4,1,55,9,7,Male,55,Black,Police Officer,None,non-partisan,1,0,1,Democrat,A1ZK0SH3406UPY,1,330
4,0,63,7,5,Female,45,Hispanic,Business Executive,State Legislator,non-partisan,1,0,1,Democrat,A1ZK0SH3406UPY,1,330
5,0,73,8,4,Male,65,Asian,Educator,Representative in Congress,non-partisan,1,0,1,Democrat,A1ZK0SH3406UPY,1,330
5,1,62,7,5,Male,55,Black,Business Executive,City Council Member,non-partisan,1,0,1,Democrat,A1ZK0SH3406UPY,1,330
1,1,100,8,7,Female,65,Black,Police Officer,Representative in Congress,Republican,0,1,6,Republican,A1ZLICHUIV6S7V,0,331
1,0,70,7,6,Male,45,Asian,Educator,City Council Member,Independent,0,1,6,Republican,A1ZLICHUIV6S7V,0,331
2,1,100,8,7,Female,65,Black,Attorney,Representative in Congress,non-partisan,0,1,6,Republican,A1ZLICHUIV6S7V,1,331
2,0,82,8,6,Female,55,White,Business Executive,None,non-partisan,0,1,6,Republican,A1ZLICHUIV6S7V,1,331
3,0,92,9,6,Male,35,White,Educator,Mayor,non-partisan,0,1,6,Republican,A1ZLICHUIV6S7V,1,331
3,1,100,9,7,Male,65,Asian,Educator,State Legislator,non-partisan,0,1,6,Republican,A1ZLICHUIV6S7V,1,331
4,0,91,8,5,Male,65,Black,Educator,State Legislator,non-partisan,0,1,6,Republican,A1ZLICHUIV6S7V,1,331
4,1,100,9,6,Female,55,White,Attorney,Representative in Congress,non-partisan,0,1,6,Republican,A1ZLICHUIV6S7V,1,331
5,1,100,8,6,Female,55,Hispanic,Attorney,None,non-partisan,0,1,6,Republican,A1ZLICHUIV6S7V,1,331
5,0,91,8,6,Male,35,White,Attorney,None,non-partisan,0,1,6,Republican,A1ZLICHUIV6S7V,1,331
1,0,73,7,4,Female,65,Asian,Educator,City Council Member,Democrat,0,1,6,Republican,A2071HMRYOHI8T,0,332
1,1,90,9,4,Female,65,Asian,Small Business Owner,None,Republican,0,1,6,Republican,A2071HMRYOHI8T,0,332
2,1,91,9,6,Male,55,Black,Business Executive,State Legislator,Republican,0,1,6,Republican,A2071HMRYOHI8T,0,332
2,0,70,8,4,Female,45,Asian,Police Officer,Representative in Congress,Independent,0,1,6,Republican,A2071HMRYOHI8T,0,332
3,1,91,9,5,Male,45,Asian,Attorney,City Council Member,non-partisan,0,1,6,Republican,A2071HMRYOHI8T,1,332
3,0,82,9,4,Male,55,White,Educator,Representative in Congress,non-partisan,0,1,6,Republican,A2071HMRYOHI8T,1,332
4,0,87,8,6,Male,35,Asian,Attorney,City Council Member,non-partisan,0,1,6,Republican,A2071HMRYOHI8T,1,332
4,1,80,8,4,Female,65,Asian,Police Officer,Mayor,non-partisan,0,1,6,Republican,A2071HMRYOHI8T,1,332
5,0,83,8,5,Female,35,White,Educator,City Council Member,non-partisan,0,1,6,Republican,A2071HMRYOHI8T,1,332
5,1,94,8,6,Male,65,White,Police Officer,City Council Member,non-partisan,0,1,6,Republican,A2071HMRYOHI8T,1,332
1,0,90,5,7,Female,55,White,Business Executive,None,non-partisan,0,1,7,Republican,A207OR9LVOPAPY,1,333
1,1,100,9,6,Male,65,Black,Small Business Owner,State Legislator,non-partisan,0,1,7,Republican,A207OR9LVOPAPY,1,333
2,1,100,12,5,Female,65,Hispanic,Business Executive,Representative in Congress,Democrat,0,1,7,Republican,A207OR9LVOPAPY,1,333
2,0,95,6,7,Female,35,Asian,Attorney,City Council Member,Democrat,0,1,7,Republican,A207OR9LVOPAPY,1,333
3,1,100,9,7,Female,65,White,Business Executive,Representative in Congress,non-partisan,0,1,7,Republican,A207OR9LVOPAPY,1,333
3,0,86,4,5,Male,55,Hispanic,Small Business Owner,None,non-partisan,0,1,7,Republican,A207OR9LVOPAPY,1,333
4,0,99,8,6,Male,65,Hispanic,Police Officer,City Council Member,Independent,0,1,7,Republican,A207OR9LVOPAPY,0,333
4,1,93,9,7,Male,35,Black,Educator,Mayor,Republican,0,1,7,Republican,A207OR9LVOPAPY,0,333
5,1,100,8,7,Female,45,White,Police Officer,Representative in Congress,Republican,0,1,7,Republican,A207OR9LVOPAPY,1,333
5,0,100,11,5,Male,35,Black,Small Business Owner,City Council Member,Republican,0,1,7,Republican,A207OR9LVOPAPY,1,333
1,0,82,5,6,Female,65,Black,Police Officer,City Council Member,Republican,1,0,1,Democrat,A20JYCPPHBT6S1,1,334
1,1,89,10,5,Male,45,Asian,Police Officer,State Legislator,Republican,1,0,1,Democrat,A20JYCPPHBT6S1,1,334
2,0,73,8,3,Male,65,Asian,Educator,Representative in Congress,non-partisan,1,0,1,Democrat,A20JYCPPHBT6S1,1,334
2,1,94,8,6,Female,65,White,Educator,Mayor,non-partisan,1,0,1,Democrat,A20JYCPPHBT6S1,1,334
3,1,84,10,5,Female,65,Asian,Business Executive,Representative in Congress,non-partisan,1,0,1,Democrat,A20JYCPPHBT6S1,1,334
3,0,50,8,4,Male,45,White,Attorney,None,non-partisan,1,0,1,Democrat,A20JYCPPHBT6S1,1,334
4,1,82,8,6,Female,65,Black,Police Officer,Representative in Congress,non-partisan,1,0,1,Democrat,A20JYCPPHBT6S1,1,334
4,0,77,9,6,Male,65,Black,Small Business Owner,City Council Member,non-partisan,1,0,1,Democrat,A20JYCPPHBT6S1,1,334
5,0,60,9,5,Male,35,Asian,Police Officer,City Council Member,Republican,1,0,1,Democrat,A20JYCPPHBT6S1,1,334
5,1,69,10,5,Male,55,Black,Educator,Mayor,Republican,1,0,1,Democrat,A20JYCPPHBT6S1,1,334
1,1,77,6,6,Female,55,White,Attorney,Representative in Congress,non-partisan,1,0,3,Democrat,A20KJRW7NPB05U,1,335
1,0,71,11,6,Male,45,Asian,Business Executive,None,non-partisan,1,0,3,Democrat,A20KJRW7NPB05U,1,335
2,1,85,10,6,Female,65,Hispanic,Business Executive,City Council Member,non-partisan,1,0,3,Democrat,A20KJRW7NPB05U,1,335
2,0,63,8,4,Female,35,Hispanic,Educator,City Council Member,non-partisan,1,0,3,Democrat,A20KJRW7NPB05U,1,335
3,0,72,9,6,Male,35,White,Business Executive,Representative in Congress,Democrat,1,0,3,Democrat,A20KJRW7NPB05U,0,335
3,1,64,7,4,Female,65,Black,Educator,None,Independent,1,0,3,Democrat,A20KJRW7NPB05U,0,335
4,0,67,10,6,Female,45,Asian,Police Officer,None,Republican,1,0,3,Democrat,A20KJRW7NPB05U,1,335
4,1,86,10,6,Male,65,White,Educator,Mayor,Republican,1,0,3,Democrat,A20KJRW7NPB05U,1,335
5,0,68,10,6,Male,65,Asian,Attorney,Mayor,Republican,1,0,3,Democrat,A20KJRW7NPB05U,0,335
5,1,86,7,6,Female,45,Hispanic,Educator,None,Democrat,1,0,3,Democrat,A20KJRW7NPB05U,0,335
1,1,50,8,4,Male,35,Black,Educator,Representative in Congress,non-partisan,1,0,3,Democrat,A20SXG1DHDIDI7,1,336
1,0,55,7,4,Female,55,Asian,Business Executive,State Legislator,non-partisan,1,0,3,Democrat,A20SXG1DHDIDI7,1,336
2,0,55,7,4,Male,35,Hispanic,Attorney,City Council Member,non-partisan,1,0,3,Democrat,A20SXG1DHDIDI7,1,336
2,1,50,9,4,Male,65,White,Small Business Owner,State Legislator,non-partisan,1,0,3,Democrat,A20SXG1DHDIDI7,1,336
3,0,50,7,4,Female,65,Black,Educator,Representative in Congress,non-partisan,1,0,3,Democrat,A20SXG1DHDIDI7,1,336
3,1,50,7,4,Male,45,Asian,Educator,Representative in Congress,non-partisan,1,0,3,Democrat,A20SXG1DHDIDI7,1,336
4,1,60,7,5,Female,35,Hispanic,Police Officer,State Legislator,Democrat,1,0,3,Democrat,A20SXG1DHDIDI7,0,336
4,0,55,7,4,Female,55,White,Attorney,City Council Member,Republican,1,0,3,Democrat,A20SXG1DHDIDI7,0,336
5,0,50,9,4,Male,45,Asian,Small Business Owner,State Legislator,non-partisan,1,0,3,Democrat,A20SXG1DHDIDI7,1,336
5,1,50,6,4,Female,45,Hispanic,Educator,Mayor,non-partisan,1,0,3,Democrat,A20SXG1DHDIDI7,1,336
1,1,70,7,6,Female,55,Black,Police Officer,City Council Member,Independent,1,0,2,Democrat,A21678AKZ9GH7W,0,337
1,0,55,7,5,Female,55,White,Attorney,None,Democrat,1,0,2,Democrat,A21678AKZ9GH7W,0,337
2,1,70,8,5,Male,45,Black,Educator,State Legislator,non-partisan,1,0,2,Democrat,A21678AKZ9GH7W,1,337
2,0,63,8,6,Male,45,White,Small Business Owner,State Legislator,non-partisan,1,0,2,Democrat,A21678AKZ9GH7W,1,337
3,0,71,8,6,Female,55,White,Educator,State Legislator,non-partisan,1,0,2,Democrat,A21678AKZ9GH7W,1,337
3,1,82,8,5,Male,45,Black,Attorney,Representative in Congress,non-partisan,1,0,2,Democrat,A21678AKZ9GH7W,1,337
4,1,84,7,6,Female,65,Hispanic,Business Executive,Representative in Congress,Republican,1,0,2,Democrat,A21678AKZ9GH7W,0,337
4,0,70,8,4,Male,35,White,Educator,City Council Member,Democrat,1,0,2,Democrat,A21678AKZ9GH7W,0,337
5,0,57,7,5,Female,35,Asian,Attorney,None,Republican,1,0,2,Democrat,A21678AKZ9GH7W,1,337
5,1,70,9,4,Female,35,Asian,Attorney,City Council Member,Republican,1,0,2,Democrat,A21678AKZ9GH7W,1,337
1,1,80,9,5,Female,55,White,Small Business Owner,City Council Member,non-partisan,1,0,2,Democrat,A218FSWIM1MC32,1,338
1,0,60,8,6,Female,35,Black,Police Officer,None,non-partisan,1,0,2,Democrat,A218FSWIM1MC32,1,338
2,1,80,9,6,Male,65,Black,Educator,State Legislator,non-partisan,1,0,2,Democrat,A218FSWIM1MC32,1,338
2,0,70,9,6,Female,55,Asian,Educator,Mayor,non-partisan,1,0,2,Democrat,A218FSWIM1MC32,1,338
3,1,90,9,6,Female,55,Black,Small Business Owner,Representative in Congress,Independent,1,0,2,Democrat,A218FSWIM1MC32,1,338
3,0,75,8,5,Male,55,Black,Educator,City Council Member,Independent,1,0,2,Democrat,A218FSWIM1MC32,1,338
4,1,80,8,5,Female,65,White,Business Executive,Representative in Congress,Republican,1,0,2,Democrat,A218FSWIM1MC32,0,338
4,0,70,8,5,Female,45,Asian,Small Business Owner,Mayor,Democrat,1,0,2,Democrat,A218FSWIM1MC32,0,338
5,0,70,9,5,Female,65,Asian,Business Executive,None,non-partisan,1,0,2,Democrat,A218FSWIM1MC32,1,338
5,1,60,7,4,Male,65,Black,Small Business Owner,City Council Member,non-partisan,1,0,2,Democrat,A218FSWIM1MC32,1,338
1,1,91,8,5,Female,35,Hispanic,Business Executive,Representative in Congress,non-partisan,0,1,6,Republican,A219VCQZADQ45W,1,339
1,0,71,8,5,Male,55,White,Business Executive,None,non-partisan,0,1,6,Republican,A219VCQZADQ45W,1,339
2,0,91,11,6,Female,45,Black,Educator,State Legislator,Independent,0,1,6,Republican,A219VCQZADQ45W,0,339
2,1,85,9,5,Female,35,Black,Police Officer,Representative in Congress,Republican,0,1,6,Republican,A219VCQZADQ45W,0,339
3,0,71,6,2,Male,65,Hispanic,Business Executive,City Council Member,Democrat,0,1,6,Republican,A219VCQZADQ45W,0,339
3,1,86,8,4,Female,45,Black,Police Officer,Representative in Congress,Independent,0,1,6,Republican,A219VCQZADQ45W,0,339
4,1,92,11,6,Female,55,Asian,Business Executive,City Council Member,Republican,0,1,6,Republican,A219VCQZADQ45W,0,339
4,0,85,8,4,Male,55,Asian,Educator,Representative in Congress,Independent,0,1,6,Republican,A219VCQZADQ45W,0,339
5,1,71,7,4,Female,45,Black,Educator,State Legislator,non-partisan,0,1,6,Republican,A219VCQZADQ45W,1,339
5,0,71,7,4,Female,35,Black,Educator,City Council Member,non-partisan,0,1,6,Republican,A219VCQZADQ45W,1,339
1,0,68,8,4,Male,35,Asian,Small Business Owner,Representative in Congress,non-partisan,1,0,2,Democrat,A21DOCRFZD6YKE,1,340
1,1,76,8,4,Male,65,Asian,Small Business Owner,State Legislator,non-partisan,1,0,2,Democrat,A21DOCRFZD6YKE,1,340
2,0,47,8,4,Male,35,White,Police Officer,None,Republican,1,0,2,Democrat,A21DOCRFZD6YKE,0,340
2,1,73,8,4,Female,55,Asian,Police Officer,State Legislator,Democrat,1,0,2,Democrat,A21DOCRFZD6YKE,0,340
3,0,54,8,4,Female,55,Asian,Educator,Representative in Congress,Independent,1,0,2,Democrat,A21DOCRFZD6YKE,0,340
3,1,72,8,4,Male,35,White,Attorney,Representative in Congress,Democrat,1,0,2,Democrat,A21DOCRFZD6YKE,0,340
4,0,57,8,4,Male,65,Hispanic,Police Officer,None,Democrat,1,0,2,Democrat,A21DOCRFZD6YKE,1,340
4,1,67,8,4,Female,45,White,Police Officer,Mayor,Democrat,1,0,2,Democrat,A21DOCRFZD6YKE,1,340
5,0,64,8,4,Male,55,Black,Police Officer,State Legislator,Independent,1,0,2,Democrat,A21DOCRFZD6YKE,1,340
5,1,70,8,4,Female,45,Black,Business Executive,Representative in Congress,Independent,1,0,2,Democrat,A21DOCRFZD6YKE,1,340
1,0,40,11,3,Male,55,White,Educator,None,Independent,0,0,4,Independent,A21EY5PH7LGZX9,1,341
1,1,92,7,5,Female,35,Black,Small Business Owner,Mayor,Independent,0,0,4,Independent,A21EY5PH7LGZX9,1,341
2,0,80,7,5,Female,35,Asian,Small Business Owner,State Legislator,Independent,0,0,4,Independent,A21EY5PH7LGZX9,1,341
2,1,80,7,5,Male,35,Hispanic,Attorney,Mayor,Independent,0,0,4,Independent,A21EY5PH7LGZX9,1,341
3,1,82,7,4,Female,45,Hispanic,Educator,Representative in Congress,Independent,0,0,4,Independent,A21EY5PH7LGZX9,0,341
3,0,82,10,4,Male,45,White,Police Officer,Representative in Congress,Republican,0,0,4,Independent,A21EY5PH7LGZX9,0,341
4,1,29,8,4,Female,35,Black,Educator,None,Independent,0,0,4,Independent,A21EY5PH7LGZX9,0,341
4,0,51,10,4,Female,45,White,Small Business Owner,None,Republican,0,0,4,Independent,A21EY5PH7LGZX9,0,341
5,1,82,6,4,Female,65,Asian,Educator,State Legislator,Democrat,0,0,4,Independent,A21EY5PH7LGZX9,0,341
5,0,87,10,4,Male,65,Hispanic,Attorney,Mayor,Republican,0,0,4,Independent,A21EY5PH7LGZX9,0,341
1,0,59,9,4,Female,65,Hispanic,Attorney,State Legislator,non-partisan,0,1,6,Republican,A21EZISIJ3JPSW,1,342
1,1,59,6,4,Female,55,White,Educator,City Council Member,non-partisan,0,1,6,Republican,A21EZISIJ3JPSW,1,342
2,0,77,6,6,Male,65,Hispanic,Police Officer,None,Democrat,0,1,6,Republican,A21EZISIJ3JPSW,0,342
2,1,86,9,6,Male,65,Hispanic,Police Officer,City Council Member,Republican,0,1,6,Republican,A21EZISIJ3JPSW,0,342
3,0,54,6,4,Female,35,Hispanic,Business Executive,Mayor,Independent,0,1,6,Republican,A21EZISIJ3JPSW,0,342
3,1,78,9,4,Male,65,Asian,Small Business Owner,Representative in Congress,Republican,0,1,6,Republican,A21EZISIJ3JPSW,0,342
4,0,56,8,4,Female,35,Asian,Educator,State Legislator,Independent,0,1,6,Republican,A21EZISIJ3JPSW,1,342
4,1,66,7,4,Male,55,Black,Police Officer,Mayor,Independent,0,1,6,Republican,A21EZISIJ3JPSW,1,342
5,0,56,8,4,Female,55,Asian,Educator,Representative in Congress,non-partisan,0,1,6,Republican,A21EZISIJ3JPSW,1,342
5,1,58,8,4,Female,65,Hispanic,Small Business Owner,None,non-partisan,0,1,6,Republican,A21EZISIJ3JPSW,1,342
1,0,70,7,5,Male,45,White,Business Executive,Representative in Congress,non-partisan,0,0,4,Independent,A21JNJUK1DBH1S,1,343
1,1,80,8,6,Female,35,Hispanic,Small Business Owner,None,non-partisan,0,0,4,Independent,A21JNJUK1DBH1S,1,343
2,1,71,9,6,Male,35,Hispanic,Police Officer,Representative in Congress,non-partisan,0,0,4,Independent,A21JNJUK1DBH1S,1,343
2,0,58,7,6,Female,35,Asian,Attorney,None,non-partisan,0,0,4,Independent,A21JNJUK1DBH1S,1,343
3,1,85,8,6,Male,55,Hispanic,Business Executive,City Council Member,non-partisan,0,0,4,Independent,A21JNJUK1DBH1S,1,343
3,0,85,8,7,Male,65,White,Police Officer,State Legislator,non-partisan,0,0,4,Independent,A21JNJUK1DBH1S,1,343
4,0,75,8,6,Male,55,White,Attorney,City Council Member,Republican,0,0,4,Independent,A21JNJUK1DBH1S,1,343
4,1,78,8,6,Male,45,Black,Business Executive,None,Republican,0,0,4,Independent,A21JNJUK1DBH1S,1,343
5,1,91,9,7,Male,45,Black,Small Business Owner,City Council Member,Republican,0,0,4,Independent,A21JNJUK1DBH1S,0,343
5,0,92,8,6,Male,45,White,Attorney,Mayor,Democrat,0,0,4,Independent,A21JNJUK1DBH1S,0,343
1,0,35,4,2,Female,55,White,Business Executive,City Council Member,Democrat,0,1,7,Republican,A21MR6KHNWW56O,1,344
1,1,59,4,2,Male,65,Hispanic,Police Officer,City Council Member,Democrat,0,1,7,Republican,A21MR6KHNWW56O,1,344
2,1,56,6,3,Male,65,Black,Attorney,Representative in Congress,non-partisan,0,1,7,Republican,A21MR6KHNWW56O,1,344
2,0,53,6,2,Female,55,Hispanic,Educator,State Legislator,non-partisan,0,1,7,Republican,A21MR6KHNWW56O,1,344
3,0,50,6,3,Male,55,Black,Business Executive,Representative in Congress,non-partisan,0,1,7,Republican,A21MR6KHNWW56O,1,344
3,1,61,8,5,Female,45,Asian,Business Executive,None,non-partisan,0,1,7,Republican,A21MR6KHNWW56O,1,344
4,1,71,10,5,Female,55,Black,Police Officer,None,Republican,0,1,7,Republican,A21MR6KHNWW56O,0,344
4,0,57,10,5,Female,65,Black,Small Business Owner,State Legislator,Independent,0,1,7,Republican,A21MR6KHNWW56O,0,344
5,1,75,10,6,Female,65,Black,Police Officer,None,Republican,0,1,7,Republican,A21MR6KHNWW56O,0,344
5,0,71,10,5,Male,65,Hispanic,Business Executive,City Council Member,Independent,0,1,7,Republican,A21MR6KHNWW56O,0,344
1,0,70,5,4,Male,65,White,Educator,None,Democrat,1,0,2,Democrat,A21QOEX7MZEP3G,0,345
1,1,80,11,4,Male,55,Hispanic,Business Executive,State Legislator,Independent,1,0,2,Democrat,A21QOEX7MZEP3G,0,345
2,1,82,8,6,Female,55,Asian,Attorney,State Legislator,non-partisan,1,0,2,Democrat,A21QOEX7MZEP3G,1,345
2,0,82,7,4,Female,55,Black,Attorney,City Council Member,non-partisan,1,0,2,Democrat,A21QOEX7MZEP3G,1,345
3,1,82,8,5,Male,35,Hispanic,Small Business Owner,City Council Member,non-partisan,1,0,2,Democrat,A21QOEX7MZEP3G,1,345
3,0,74,7,3,Female,35,White,Police Officer,City Council Member,non-partisan,1,0,2,Democrat,A21QOEX7MZEP3G,1,345
4,0,74,8,4,Male,35,Black,Educator,Mayor,non-partisan,1,0,2,Democrat,A21QOEX7MZEP3G,1,345
4,1,83,9,5,Female,45,Hispanic,Business Executive,City Council Member,non-partisan,1,0,2,Democrat,A21QOEX7MZEP3G,1,345
5,1,79,8,5,Male,45,Asian,Police Officer,State Legislator,Independent,1,0,2,Democrat,A21QOEX7MZEP3G,0,345
5,0,72,8,4,Male,35,White,Educator,City Council Member,Republican,1,0,2,Democrat,A21QOEX7MZEP3G,0,345
1,1,94,8,7,Female,35,Asian,Business Executive,City Council Member,Independent,0,0,4,Independent,A21T7YH1PNOXF6,0,346
1,0,81,8,5,Male,35,White,Business Executive,City Council Member,Republican,0,0,4,Independent,A21T7YH1PNOXF6,0,346
2,0,59,7,7,Male,35,Black,Small Business Owner,Mayor,non-partisan,0,0,4,Independent,A21T7YH1PNOXF6,1,346
2,1,93,9,7,Female,45,White,Small Business Owner,Representative in Congress,non-partisan,0,0,4,Independent,A21T7YH1PNOXF6,1,346
3,1,99,8,7,Male,55,Asian,Small Business Owner,Mayor,Republican,0,0,4,Independent,A21T7YH1PNOXF6,0,346
3,0,83,8,4,Male,55,White,Attorney,City Council Member,Democrat,0,0,4,Independent,A21T7YH1PNOXF6,0,346
4,0,100,8,7,Female,45,Hispanic,Business Executive,Representative in Congress,non-partisan,0,0,4,Independent,A21T7YH1PNOXF6,1,346
