"","Duration (in seconds)","Finished","ResponseId","Q578","Q579","Q580","Q271_1","Q271_2","Q271_3","Q271_4","Q271_5","Q271_6","Q78","Q77","Q76","Q75","Q74","Q581","F-1-1","F-1-1-1","F-1-2","F-1-1-2","F-1-3","F-1-1-3","F-1-2-1","F-1-2-2","F-1-2-3","F-2-1","F-2-1-1","F-2-2","F-2-1-2","F-2-3","F-2-1-3","F-2-2-1","F-2-2-2","F-2-2-3","F-3-1","F-3-1-1","F-3-2","F-3-1-2","F-3-3","F-3-1-3","F-3-2-1","F-3-2-2","F-3-2-3","duration_mins","scaled_duration_mins"
"44",400,TRUE,"R_3RbbSZ3ZFNwmapX","Candidate 1","Candidate 2","Candidate 1","7 - Strongly agree","1 - Strongly disagree","3","5","2","6","Employed, full-time","Caucasian","Bachelor degree","Female",32,"Sometimes","Past Political Experience","None","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Penal proceedings","No proceedings","None","Welcome immigrants and organise human corridor","No proceedings","Past Political Experience","Approximately 10 years","Policy Proposal","Welcome immigrants and organise human corridor","Penal proceedings","No proceedings","Approximately 10 years","Acceptance of immigrants conditional on certain requisites","The candidate is under investigation for corruption","Past Political Experience","None","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Penal proceedings","The candidate has been convicted of corruption","None","Welcome immigrants and organise human corridor","The candidate has been convicted of corruption",6.66666666666667,-0.494146897898424
"45",563,TRUE,"R_3m9MpyR1kCUj7aY","Candidate 1","Candidate 2","Candidate 1","7 - Strongly agree","2","6","4 - Neither agree nor disagree","4 - Neither agree nor disagree","7 - Strongly agree","Employed, full-time","Hispanic","Some college","Male",38,"Never","Penal proceedings","No proceedings","Past Political Experience","Approximately 10 years","Policy Proposal","Collective expulsion of immigrants and closure of the border","The candidate has been convicted of corruption","None","Collective expulsion of immigrants and closure of the border","Penal proceedings","The candidate is under investigation for corruption","Past Political Experience","None","Policy Proposal","Collective expulsion of immigrants and closure of the border","No proceedings","Approximately 20 years","Collective expulsion of immigrants and closure of the border","Penal proceedings","The candidate has been convicted of corruption","Past Political Experience","Approximately 20 years","Policy Proposal","Acceptance of immigrants conditional on certain requisites","The candidate is under investigation for corruption","None","Welcome immigrants and organise human corridor",9.38333333333333,-0.296752583357258
"46",363,TRUE,"R_Ulu95ICMmlvnxMB","Candidate 1","Candidate 2","Candidate 1","7 - Strongly agree","1 - Strongly disagree","4 - Neither agree nor disagree","4 - Neither agree nor disagree","1 - Strongly disagree","4 - Neither agree nor disagree","Employed, full-time","Caucasian","Some college","Male",26,"Regularly","Penal proceedings","The candidate has been convicted of corruption","Past Political Experience","Approximately 10 years","Policy Proposal","Collective expulsion of immigrants and closure of the border","The candidate has been convicted of corruption","Approximately 10 years","Acceptance of immigrants conditional on certain requisites","Penal proceedings","The candidate is under investigation for corruption","Past Political Experience","Approximately 20 years","Policy Proposal","Collective expulsion of immigrants and closure of the border","The candidate is under investigation for corruption","None","Acceptance of immigrants conditional on certain requisites","Penal proceedings","The candidate is under investigation for corruption","Past Political Experience","Approximately 20 years","Policy Proposal","Welcome immigrants and organise human corridor","The candidate has been convicted of corruption","Approximately 10 years","Welcome immigrants and organise human corridor",6.05,-0.538954196291204
"47",592,TRUE,"R_ele1mbw4X6Lo1d7","Candidate 2","Candidate 2","Candidate 2","3","4 - Neither agree nor disagree","4 - Neither agree nor disagree","3","4 - Neither agree nor disagree","4 - Neither agree nor disagree","Employed, full-time","Asian","Master degree","Male",33,"Sometimes","Penal proceedings","The candidate is under investigation for corruption","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Past Political Experience","None","The candidate has been convicted of corruption","Acceptance of immigrants conditional on certain requisites","None","Penal proceedings","The candidate has been convicted of corruption","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Past Political Experience","Approximately 20 years","No proceedings","Acceptance of immigrants conditional on certain requisites","None","Penal proceedings","The candidate has been convicted of corruption","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Past Political Experience","Approximately 20 years","No proceedings","Welcome immigrants and organise human corridor","None",9.86666666666667,-0.261633349481835
"48",427,TRUE,"R_1o0GheyRV3uJdkK","Candidate 2","Candidate 2","Candidate 1","7 - Strongly agree","1 - Strongly disagree","7 - Strongly agree","5","1 - Strongly disagree","7 - Strongly agree","Employed, full-time","Caucasian","Bachelor degree","Female",42,"Sometimes","Policy Proposal","Collective expulsion of immigrants and closure of the border","Penal proceedings","The candidate has been convicted of corruption","Past Political Experience","Approximately 20 years","Collective expulsion of immigrants and closure of the border","The candidate has been convicted of corruption","Approximately 20 years","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Penal proceedings","The candidate is under investigation for corruption","Past Political Experience","None","Collective expulsion of immigrants and closure of the border","No proceedings","Approximately 10 years","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Penal proceedings","The candidate is under investigation for corruption","Past Political Experience","None","Acceptance of immigrants conditional on certain requisites","The candidate is under investigation for corruption","Approximately 20 years",7.11666666666667,-0.461449680152341
"49",629,TRUE,"R_1NmhaiHo8pH9T8L","Candidate 2","Candidate 2","Candidate 1","7 - Strongly agree","1 - Strongly disagree","6","3","2","7 - Strongly agree","Employed, full-time","African American","Master degree","Female",39,"Sometimes","Past Political Experience","Approximately 10 years","Penal proceedings","The candidate is under investigation for corruption","Policy Proposal","Collective expulsion of immigrants and closure of the border","Approximately 10 years","The candidate is under investigation for corruption","Acceptance of immigrants conditional on certain requisites","Past Political Experience","Approximately 10 years","Penal proceedings","The candidate is under investigation for corruption","Policy Proposal","Collective expulsion of immigrants and closure of the border","Approximately 10 years","The candidate is under investigation for corruption","Collective expulsion of immigrants and closure of the border","Past Political Experience","None","Penal proceedings","No proceedings","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Approximately 20 years","No proceedings","Collective expulsion of immigrants and closure of the border",10.4833333333333,-0.216826051089055
"50",356,TRUE,"R_VJ7NLexQ3pAnQXv","Candidate 2","Candidate 1","Candidate 1","6","3","5","3","3","5","Employed, full-time","Caucasian","Bachelor degree","Male",55,"Never","Penal proceedings","The candidate has been convicted of corruption","Past Political Experience","Approximately 20 years","Policy Proposal","Welcome immigrants and organise human corridor","The candidate is under investigation for corruption","Approximately 10 years","Collective expulsion of immigrants and closure of the border","Penal proceedings","The candidate is under investigation for corruption","Past Political Experience","Approximately 10 years","Policy Proposal","Collective expulsion of immigrants and closure of the border","The candidate has been convicted of corruption","Approximately 20 years","Collective expulsion of immigrants and closure of the border","Penal proceedings","No proceedings","Past Political Experience","None","Policy Proposal","Welcome immigrants and organise human corridor","The candidate has been convicted of corruption","Approximately 20 years","Welcome immigrants and organise human corridor",5.93333333333333,-0.547431252743892
"51",387,TRUE,"R_3KqCjDwvhM7Op1i","Candidate 1","Candidate 1","Candidate 2","7 - Strongly agree","1 - Strongly disagree","6","3","4 - Neither agree nor disagree","5","Employed, full-time","Hispanic","Bachelor degree","Male",23,"Sometimes","Penal proceedings","The candidate is under investigation for corruption","Past Political Experience","Approximately 20 years","Policy Proposal","Acceptance of immigrants conditional on certain requisites","The candidate is under investigation for corruption","Approximately 20 years","Collective expulsion of immigrants and closure of the border","Penal proceedings","The candidate has been convicted of corruption","Past Political Experience","Approximately 20 years","Policy Proposal","Acceptance of immigrants conditional on certain requisites","No proceedings","Approximately 10 years","Acceptance of immigrants conditional on certain requisites","Penal proceedings","No proceedings","Past Political Experience","Approximately 20 years","Policy Proposal","Collective expulsion of immigrants and closure of the border","The candidate has been convicted of corruption","Approximately 20 years","Acceptance of immigrants conditional on certain requisites",6.45,-0.50989000273913
"52",500,TRUE,"R_3JCyFwWGUAGEGFU","Candidate 1","Candidate 1","Candidate 2","7 - Strongly agree","1 - Strongly disagree","4 - Neither agree nor disagree","3","5","4 - Neither agree nor disagree","Self-employed","Caucasian","Some college","Female",36,"Regularly","Past Political Experience","None","Penal proceedings","No proceedings","Policy Proposal","Welcome immigrants and organise human corridor","Approximately 20 years","The candidate has been convicted of corruption","Collective expulsion of immigrants and closure of the border","Past Political Experience","Approximately 20 years","Penal proceedings","No proceedings","Policy Proposal","Collective expulsion of immigrants and closure of the border","Approximately 20 years","The candidate is under investigation for corruption","Collective expulsion of immigrants and closure of the border","Past Political Experience","Approximately 20 years","Penal proceedings","The candidate is under investigation for corruption","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Approximately 20 years","No proceedings","Acceptance of immigrants conditional on certain requisites",8.33333333333333,-0.37304609143145
"53",374,TRUE,"R_3hcCg2W9ERwWvll","Candidate 1","Candidate 1","Candidate 2","6","6","5","3","3","5","Employed, full-time","Caucasian","PhD, JD, MD","Male",34,"Sometimes","Policy Proposal","Collective expulsion of immigrants and closure of the border","Past Political Experience","None","Penal proceedings","No proceedings","Collective expulsion of immigrants and closure of the border","None","No proceedings","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Past Political Experience","Approximately 10 years","Penal proceedings","No proceedings","Welcome immigrants and organise human corridor","Approximately 10 years","The candidate has been convicted of corruption","Policy Proposal","Welcome immigrants and organise human corridor","Past Political Experience","None","Penal proceedings","The candidate is under investigation for corruption","Acceptance of immigrants conditional on certain requisites","Approximately 10 years","No proceedings",6.23333333333333,-0.525633107579837
"54",673,TRUE,"R_1FkoosZujBq08ZW","Candidate 1","Candidate 2","Candidate 2","7 - Strongly agree","1 - Strongly disagree","7 - Strongly agree","1 - Strongly disagree","1 - Strongly disagree","7 - Strongly agree","Employed, full-time","Caucasian","Some college","Female",47,"Regularly","Past Political Experience","Approximately 10 years","Policy Proposal","Welcome immigrants and organise human corridor","Penal proceedings","The candidate has been convicted of corruption","None","Collective expulsion of immigrants and closure of the border","The candidate is under investigation for corruption","Past Political Experience","Approximately 10 years","Policy Proposal","Collective expulsion of immigrants and closure of the border","Penal proceedings","No proceedings","Approximately 20 years","Welcome immigrants and organise human corridor","No proceedings","Past Political Experience","None","Policy Proposal","Welcome immigrants and organise human corridor","Penal proceedings","The candidate has been convicted of corruption","Approximately 10 years","Welcome immigrants and organise human corridor","The candidate has been convicted of corruption",11.2166666666667,-0.163541696243587
"55",418,TRUE,"R_25WLS2rDnUTMpBA","Candidate 1","Candidate 2","Candidate 2","2","2","5","4 - Neither agree nor disagree","5","5","Student","Caucasian","Master degree","Female",30,"Never","Penal proceedings","The candidate has been convicted of corruption","Policy Proposal","Welcome immigrants and organise human corridor","Past Political Experience","Approximately 10 years","No proceedings","Collective expulsion of immigrants and closure of the border","Approximately 10 years","Penal proceedings","The candidate has been convicted of corruption","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Past Political Experience","None","No proceedings","Acceptance of immigrants conditional on certain requisites","Approximately 20 years","Penal proceedings","The candidate has been convicted of corruption","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Past Political Experience","Approximately 10 years","No proceedings","Acceptance of immigrants conditional on certain requisites","Approximately 10 years",6.96666666666667,-0.472348752734368
"56",448,TRUE,"R_1reKlr0UtbKNEGu","Candidate 2","Candidate 2","Candidate 2","5","4 - Neither agree nor disagree","6","5","4 - Neither agree nor disagree","4 - Neither agree nor disagree","Employed, full-time","Caucasian","Master degree","Male",46,"Sometimes","Penal proceedings","The candidate is under investigation for corruption","Past Political Experience","Approximately 20 years","Policy Proposal","Collective expulsion of immigrants and closure of the border","The candidate is under investigation for corruption","None","Welcome immigrants and organise human corridor","Penal proceedings","The candidate is under investigation for corruption","Past Political Experience","Approximately 20 years","Policy Proposal","Acceptance of immigrants conditional on certain requisites","No proceedings","Approximately 10 years","Welcome immigrants and organise human corridor","Penal proceedings","No proceedings","Past Political Experience","Approximately 10 years","Policy Proposal","Collective expulsion of immigrants and closure of the border","The candidate is under investigation for corruption","Approximately 10 years","Welcome immigrants and organise human corridor",7.46666666666667,-0.436018510794277
"57",578,TRUE,"R_1hyeIQQ70w94ahK","Candidate 2","Candidate 2","Candidate 2","5","4 - Neither agree nor disagree","5","5","3","5","Employed, full-time","Caucasian","Some college","Female",42,"Never","Penal proceedings","No proceedings","Policy Proposal","Collective expulsion of immigrants and closure of the border","Past Political Experience","Approximately 10 years","No proceedings","Acceptance of immigrants conditional on certain requisites","None","Penal proceedings","No proceedings","Policy Proposal","Collective expulsion of immigrants and closure of the border","Past Political Experience","None","The candidate is under investigation for corruption","Acceptance of immigrants conditional on certain requisites","Approximately 20 years","Penal proceedings","No proceedings","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Past Political Experience","None","No proceedings","Acceptance of immigrants conditional on certain requisites","Approximately 10 years",9.63333333333333,-0.278587462387211
"58",484,TRUE,"R_27QJ0lyOisBAnIw","Candidate 1","Candidate 1","Candidate 2","6","2","6","5","2","7 - Strongly agree","Student","Caucasian","Some college","Female",21,"Sometimes","Penal proceedings","The candidate has been convicted of corruption","Policy Proposal","Welcome immigrants and organise human corridor","Past Political Experience","Approximately 20 years","The candidate has been convicted of corruption","Welcome immigrants and organise human corridor","None","Penal proceedings","No proceedings","Policy Proposal","Welcome immigrants and organise human corridor","Past Political Experience","Approximately 10 years","No proceedings","Collective expulsion of immigrants and closure of the border","None","Penal proceedings","The candidate has been convicted of corruption","Policy Proposal","Welcome immigrants and organise human corridor","Past Political Experience","Approximately 10 years","No proceedings","Acceptance of immigrants conditional on certain requisites","Approximately 10 years",8.06666666666667,-0.392422220466166
"59",684,TRUE,"R_1ohkiCA3pnO9IV5","Candidate 2","Candidate 2","Candidate 1","6","1 - Strongly disagree","5","4 - Neither agree nor disagree","1 - Strongly disagree","7 - Strongly agree","Employed, full-time","Caucasian","Some college","Female",58,"Sometimes","Penal proceedings","No proceedings","Past Political Experience","None","Policy Proposal","Welcome immigrants and organise human corridor","No proceedings","Approximately 10 years","Welcome immigrants and organise human corridor","Penal proceedings","The candidate has been convicted of corruption","Past Political Experience","Approximately 20 years","Policy Proposal","Welcome immigrants and organise human corridor","No proceedings","Approximately 10 years","Welcome immigrants and organise human corridor","Penal proceedings","No proceedings","Past Political Experience","Approximately 10 years","Policy Proposal","Acceptance of immigrants conditional on certain requisites","The candidate is under investigation for corruption","None","Welcome immigrants and organise human corridor",11.4,-0.15022060753222
"60",657,TRUE,"R_3DqB7KmwD38BFJG","Candidate 1","Candidate 1","Candidate 1","7 - Strongly agree","2","3","6","6","5","Employed, full-time","Caucasian","Bachelor degree","Male",31,"Sometimes","Policy Proposal","Collective expulsion of immigrants and closure of the border","Past Political Experience","Approximately 10 years","Penal proceedings","The candidate has been convicted of corruption","Welcome immigrants and organise human corridor","None","The candidate has been convicted of corruption","Policy Proposal","Welcome immigrants and organise human corridor","Past Political Experience","Approximately 20 years","Penal proceedings","No proceedings","Acceptance of immigrants conditional on certain requisites","Approximately 20 years","The candidate is under investigation for corruption","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Past Political Experience","Approximately 20 years","Penal proceedings","The candidate is under investigation for corruption","Welcome immigrants and organise human corridor","Approximately 10 years","The candidate is under investigation for corruption",10.95,-0.182917825278303
"61",605,TRUE,"R_V2QixmoQbRjvoYx","Candidate 1","Candidate 1","Candidate 1","7 - Strongly agree","1 - Strongly disagree","4 - Neither agree nor disagree","4 - Neither agree nor disagree","3","4 - Neither agree nor disagree","Employed, full-time","Caucasian","Bachelor degree","Female",56,"Never","Penal proceedings","The candidate has been convicted of corruption","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Past Political Experience","Approximately 20 years","The candidate has been convicted of corruption","Acceptance of immigrants conditional on certain requisites","Approximately 10 years","Penal proceedings","No proceedings","Policy Proposal","Welcome immigrants and organise human corridor","Past Political Experience","Approximately 20 years","The candidate has been convicted of corruption","Collective expulsion of immigrants and closure of the border","Approximately 10 years","Penal proceedings","No proceedings","Policy Proposal","Welcome immigrants and organise human corridor","Past Political Experience","Approximately 10 years","No proceedings","Acceptance of immigrants conditional on certain requisites","Approximately 10 years",10.0833333333333,-0.245890244641129
"62",589,TRUE,"R_2yqERDCExfj1fDu","Candidate 1","Candidate 2","Candidate 2","6","2","6","4 - Neither agree nor disagree","4 - Neither agree nor disagree","6","Employed, full-time","Caucasian","PhD, JD, MD","Female",36,"Regularly","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Past Political Experience","None","Penal proceedings","No proceedings","Collective expulsion of immigrants and closure of the border","Approximately 10 years","The candidate has been convicted of corruption","Policy Proposal","Welcome immigrants and organise human corridor","Past Political Experience","Approximately 20 years","Penal proceedings","The candidate is under investigation for corruption","Welcome immigrants and organise human corridor","Approximately 10 years","The candidate is under investigation for corruption","Policy Proposal","Collective expulsion of immigrants and closure of the border","Past Political Experience","Approximately 20 years","Penal proceedings","No proceedings","Acceptance of immigrants conditional on certain requisites","Approximately 20 years","No proceedings",9.81666666666667,-0.265266373675844
"63",714,TRUE,"R_vDBqMkDlqixv7a1","Candidate 1","Candidate 2","Candidate 1","1 - Strongly disagree","1 - Strongly disagree","7 - Strongly agree","2","3","6","Employed, part time","Caucasian","Some college","Female",32,"Sometimes","Penal proceedings","The candidate has been convicted of corruption","Past Political Experience","None","Policy Proposal","Acceptance of immigrants conditional on certain requisites","The candidate has been convicted of corruption","Approximately 10 years","Acceptance of immigrants conditional on certain requisites","Penal proceedings","The candidate has been convicted of corruption","Past Political Experience","Approximately 10 years","Policy Proposal","Welcome immigrants and organise human corridor","No proceedings","Approximately 10 years","Welcome immigrants and organise human corridor","Penal proceedings","No proceedings","Past Political Experience","Approximately 10 years","Policy Proposal","Welcome immigrants and organise human corridor","The candidate has been convicted of corruption","None","Welcome immigrants and organise human corridor",11.9,-0.113890365592128
"64",593,TRUE,"R_2ZDP15xDbkq5VOQ","Candidate 2","Candidate 1","Candidate 1","7 - Strongly agree","2","6","2","1 - Strongly disagree","5","Unemployed","Caucasian","Some college","Female",41,"Sometimes","Past Political Experience","Approximately 20 years","Penal proceedings","The candidate is under investigation for corruption","Policy Proposal","Collective expulsion of immigrants and closure of the border","Approximately 10 years","The candidate is under investigation for corruption","Collective expulsion of immigrants and closure of the border","Past Political Experience","Approximately 20 years","Penal proceedings","The candidate has been convicted of corruption","Policy Proposal","Welcome immigrants and organise human corridor","Approximately 10 years","The candidate has been convicted of corruption","Collective expulsion of immigrants and closure of the border","Past Political Experience","Approximately 10 years","Penal proceedings","No proceedings","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Approximately 20 years","The candidate is under investigation for corruption","Acceptance of immigrants conditional on certain requisites",9.88333333333333,-0.260422341417166
"65",543,TRUE,"R_C2NANQ82UtB3wSR","Candidate 2","Candidate 1","Candidate 1","7 - Strongly agree","1 - Strongly disagree","4 - Neither agree nor disagree","5","2","7 - Strongly agree","Self-employed","Caucasian","Some college","Female",42,"Regularly","Past Political Experience","Approximately 10 years","Penal proceedings","The candidate has been convicted of corruption","Policy Proposal","Collective expulsion of immigrants and closure of the border","Approximately 20 years","The candidate is under investigation for corruption","Welcome immigrants and organise human corridor","Past Political Experience","None","Penal proceedings","No proceedings","Policy Proposal","Acceptance of immigrants conditional on certain requisites","None","The candidate is under investigation for corruption","Acceptance of immigrants conditional on certain requisites","Past Political Experience","None","Penal proceedings","No proceedings","Policy Proposal","Acceptance of immigrants conditional on certain requisites","None","The candidate is under investigation for corruption","Collective expulsion of immigrants and closure of the border",9.05,-0.320972744650652
"66",377,TRUE,"R_1N9UAYo1J7yJNoU","Candidate 2","Candidate 2","Candidate 2","7 - Strongly agree","2","7 - Strongly agree","1 - Strongly disagree","3","6","Employed, part time","Caucasian","Bachelor degree","Male",34,"Sometimes","Policy Proposal","Collective expulsion of immigrants and closure of the border","Past Political Experience","None","Penal proceedings","No proceedings","Welcome immigrants and organise human corridor","Approximately 20 years","The candidate has been convicted of corruption","Policy Proposal","Collective expulsion of immigrants and closure of the border","Past Political Experience","None","Penal proceedings","The candidate has been convicted of corruption","Acceptance of immigrants conditional on certain requisites","Approximately 10 years","No proceedings","Policy Proposal","Collective expulsion of immigrants and closure of the border","Past Political Experience","Approximately 10 years","Penal proceedings","No proceedings","Acceptance of immigrants conditional on certain requisites","None","No proceedings",6.28333333333333,-0.522000083385827
"67",579,TRUE,"R_3JzuozNBPGujTKZ","Candidate 1","Candidate 2","Candidate 1","6","3","6","4 - Neither agree nor disagree","3","6","Employed, full-time","Caucasian","Some college","Male",30,"Never","Past Political Experience","None","Policy Proposal","Welcome immigrants and organise human corridor","Penal proceedings","No proceedings","Approximately 10 years","Acceptance of immigrants conditional on certain requisites","The candidate has been convicted of corruption","Past Political Experience","Approximately 20 years","Policy Proposal","Collective expulsion of immigrants and closure of the border","Penal proceedings","The candidate is under investigation for corruption","Approximately 10 years","Collective expulsion of immigrants and closure of the border","No proceedings","Past Political Experience","Approximately 20 years","Policy Proposal","Welcome immigrants and organise human corridor","Penal proceedings","The candidate is under investigation for corruption","Approximately 20 years","Welcome immigrants and organise human corridor","The candidate has been convicted of corruption",9.65,-0.277376454322542
"68",643,TRUE,"R_1Q5AFKd5marWWLn","Candidate 1","Candidate 1","Candidate 2","6","5","5","5","2","5","Employed, full-time","Caucasian","Bachelor degree","Male",28,"Regularly","Policy Proposal","Welcome immigrants and organise human corridor","Penal proceedings","No proceedings","Past Political Experience","Approximately 10 years","Collective expulsion of immigrants and closure of the border","The candidate is under investigation for corruption","None","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Penal proceedings","No proceedings","Past Political Experience","Approximately 20 years","Collective expulsion of immigrants and closure of the border","The candidate is under investigation for corruption","None","Policy Proposal","Welcome immigrants and organise human corridor","Penal proceedings","The candidate has been convicted of corruption","Past Political Experience","Approximately 20 years","Welcome immigrants and organise human corridor","The candidate has been convicted of corruption","None",10.7166666666667,-0.199871938183679
"69",567,TRUE,"R_32XduHKVxjTfy2g","Candidate 1","Candidate 1","Candidate 2","6","5","6","4 - Neither agree nor disagree","3","5","Unemployed","Asian","Some college","Male",25,"Never","Policy Proposal","Welcome immigrants and organise human corridor","Past Political Experience","None","Penal proceedings","No proceedings","Collective expulsion of immigrants and closure of the border","Approximately 20 years","The candidate has been convicted of corruption","Policy Proposal","Collective expulsion of immigrants and closure of the border","Past Political Experience","Approximately 10 years","Penal proceedings","The candidate has been convicted of corruption","Collective expulsion of immigrants and closure of the border","None","The candidate has been convicted of corruption","Policy Proposal","Collective expulsion of immigrants and closure of the border","Past Political Experience","None","Penal proceedings","No proceedings","Welcome immigrants and organise human corridor","Approximately 10 years","No proceedings",9.45,-0.291908551098579
"70",737,TRUE,"R_2v6baIg3Tsc523F","Candidate 2","Candidate 1","Candidate 2","4 - Neither agree nor disagree","4 - Neither agree nor disagree","5","4 - Neither agree nor disagree","6","4 - Neither agree nor disagree","Employed, full-time","Hispanic","High school degree/ GED","Male",27,"Never","Penal proceedings","The candidate is under investigation for corruption","Policy Proposal","Welcome immigrants and organise human corridor","Past Political Experience","None","The candidate is under investigation for corruption","Collective expulsion of immigrants and closure of the border","Approximately 20 years","Penal proceedings","No proceedings","Policy Proposal","Welcome immigrants and organise human corridor","Past Political Experience","Approximately 20 years","The candidate is under investigation for corruption","Welcome immigrants and organise human corridor","Approximately 10 years","Penal proceedings","The candidate has been convicted of corruption","Policy Proposal","Welcome immigrants and organise human corridor","Past Political Experience","Approximately 20 years","No proceedings","Welcome immigrants and organise human corridor","Approximately 10 years",12.2833333333333,-0.0860371801047242
"71",736,TRUE,"R_2VK2yASNRhrf9CQ","Candidate 1","Candidate 2","Candidate 1","7 - Strongly agree","1 - Strongly disagree","7 - Strongly agree","3","5","6","Employed, full-time","Other","Bachelor degree","Female",37,"Never","Policy Proposal","Collective expulsion of immigrants and closure of the border","Past Political Experience","None","Penal proceedings","No proceedings","Acceptance of immigrants conditional on certain requisites","Approximately 10 years","The candidate is under investigation for corruption","Policy Proposal","Welcome immigrants and organise human corridor","Past Political Experience","Approximately 10 years","Penal proceedings","The candidate has been convicted of corruption","Welcome immigrants and organise human corridor","None","No proceedings","Policy Proposal","Collective expulsion of immigrants and closure of the border","Past Political Experience","Approximately 10 years","Penal proceedings","The candidate is under investigation for corruption","Welcome immigrants and organise human corridor","None","The candidate is under investigation for corruption",12.2666666666667,-0.0872481881693939
"72",715,TRUE,"R_SC4Q22hAGpk9a7L","Candidate 2","Candidate 1","Candidate 2","6","1 - Strongly disagree","6","2","3","5","Employed, full-time","Caucasian","Some college","Female",36,"Regularly","Past Political Experience","Approximately 10 years","Penal proceedings","The candidate is under investigation for corruption","Policy Proposal","Acceptance of immigrants conditional on certain requisites","None","The candidate is under investigation for corruption","Welcome immigrants and organise human corridor","Past Political Experience","None","Penal proceedings","The candidate has been convicted of corruption","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Approximately 10 years","The candidate has been convicted of corruption","Collective expulsion of immigrants and closure of the border","Past Political Experience","None","Penal proceedings","The candidate is under investigation for corruption","Policy Proposal","Welcome immigrants and organise human corridor","Approximately 20 years","The candidate is under investigation for corruption","Welcome immigrants and organise human corridor",11.9166666666667,-0.112679357527458
"73",613,TRUE,"R_2zLVpuxmmUgtlfg","Candidate 2","Candidate 1","Candidate 2","6","2","7 - Strongly agree","2","6","4 - Neither agree nor disagree","Self-employed","Caucasian","Bachelor degree","Male",68,"Regularly","Policy Proposal","Collective expulsion of immigrants and closure of the border","Past Political Experience","None","Penal proceedings","The candidate is under investigation for corruption","Welcome immigrants and organise human corridor","Approximately 20 years","The candidate has been convicted of corruption","Policy Proposal","Collective expulsion of immigrants and closure of the border","Past Political Experience","Approximately 10 years","Penal proceedings","No proceedings","Acceptance of immigrants conditional on certain requisites","None","The candidate is under investigation for corruption","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Past Political Experience","Approximately 20 years","Penal proceedings","The candidate has been convicted of corruption","Welcome immigrants and organise human corridor","None","The candidate has been convicted of corruption",10.2166666666667,-0.236202180123771
"74",385,TRUE,"R_3MKUgYGf5nF75P0","Candidate 1","Candidate 1","Candidate 1","5","5","5","3","1 - Strongly disagree","7 - Strongly agree","Employed, full-time","Caucasian","Master degree","Male",48,"Never","Policy Proposal","Welcome immigrants and organise human corridor","Penal proceedings","The candidate is under investigation for corruption","Past Political Experience","Approximately 20 years","Welcome immigrants and organise human corridor","The candidate is under investigation for corruption","None","Policy Proposal","Welcome immigrants and organise human corridor","Penal proceedings","The candidate is under investigation for corruption","Past Political Experience","Approximately 20 years","Welcome immigrants and organise human corridor","The candidate has been convicted of corruption","None","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Penal proceedings","No proceedings","Past Political Experience","Approximately 10 years","Acceptance of immigrants conditional on certain requisites","No proceedings","Approximately 10 years",6.41666666666667,-0.51231201886847
"75",722,TRUE,"R_2SxyJL97lhYwNHV","Candidate 2","Candidate 1","Candidate 1","7 - Strongly agree","3","7 - Strongly agree","2","2","6","Self-employed","Caucasian","High school degree/ GED","Female",54,"Sometimes","Past Political Experience","Approximately 10 years","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Penal proceedings","The candidate is under investigation for corruption","Approximately 20 years","Collective expulsion of immigrants and closure of the border","No proceedings","Past Political Experience","Approximately 20 years","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Penal proceedings","The candidate has been convicted of corruption","Approximately 10 years","Welcome immigrants and organise human corridor","The candidate has been convicted of corruption","Past Political Experience","Approximately 10 years","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Penal proceedings","No proceedings","Approximately 20 years","Welcome immigrants and organise human corridor","The candidate is under investigation for corruption",12.0333333333333,-0.10420230107477
